id,tenant_id,form_type,status,idempotency_key,city_code,district_code,industry,lng,lat,payload_required_name,created_by,created_at
form_000000,tenant_01,property,published,idem_000000,beijing,north,hotel,116.4625968,39.9222051,property_000000,user_01,2026-09-01T03:09:59+00:00
form_000001,tenant_02,merchant_info,published,idem_000001,beijing,west,education,116.3986331,39.8805832,merchant_info_000001,user_02,2026-09-01T07:47:17+00:00
form_000002,tenant_03,product,published,idem_000002,shanghai,south,retail,121.6278034,31.1691832,product_000002,user_03,2026-09-11T14:03:12+00:00
form_000003,tenant_04,report,published,idem_000003,shanghai,north,retail,121.4390738,31.2121565,report_000003,user_04,2026-09-06T04:52:33+00:00
form_000004,tenant_05,merchant_info,processing,idem_000004,shanghai,west,service,121.6031310,31.1644556,merchant_info_000004,user_05,2026-09-02T02:49:11+00:00
form_000005,tenant_06,property,published,idem_000005,hangzhou,core,hotel,120.1547014,30.2886858,property_000005,user_06,2026-09-14T16:29:39+00:00
form_000006,tenant_07,product,batched,idem_000006,shenzhen,west,education,113.9241637,22.5445084,product_000006,user_07,2026-09-11T22:32:26+00:00
form_000007,tenant_08,report,published,idem_000007,hangzhou,north,restaurant,120.2934597,30.2945948,report_000007,user_08,2026-09-10T00:30:57+00:00
form_000008,tenant_09,merchant_info,published,idem_000008,shenzhen,north,service,114.1324268,22.5543766,merchant_info_000008,user_09,2026-09-14T03:30:40+00:00
form_000009,tenant_10,product,published,idem_000009,hangzhou,north,hotel,120.2779871,30.2782097,product_000009,user_10,2026-09-13T21:21:57+00:00
form_000010,tenant_11,product,published,idem_000010,hangzhou,south,retail,120.2558723,30.3531475,product_000010,user_11,2026-09-02T09:26:03+00:00
form_000011,tenant_12,product,published,idem_000011,beijing,west,restaurant,116.5113038,39.8591467,product_000011,user_12,2026-09-12T00:43:23+00:00
form_000012,tenant_13,report,published,idem_000012,shanghai,core,service,121.4015628,31.1268638,report_000012,user_13,2026-09-08T19:38:23+00:00
form_000013,tenant_14,merchant_info,published,idem_000013,chengdu,east,hotel,104.0343427,30.6167471,merchant_info_000013,user_14,2026-09-11T04:54:14+00:00
form_000014,tenant_15,property,published,idem_000014,beijing,west,education,116.5515475,39.8846405,property_000014,user_15,2026-09-05T09:06:42+00:00
form_000015,tenant_16,merchant_info,published,idem_000015,shenzhen,north,education,113.9223363,22.5219001,merchant_info_000015,user_16,2026-09-03T16:53:28+00:00
form_000016,tenant_17,product,published,idem_000016,shanghai,south,restaurant,121.6189326,31.2046302,product_000016,user_17,2026-09-09T14:47:16+00:00
form_000017,tenant_18,property,processing,idem_000017,shanghai,south,education,121.4579744,31.2213666,property_000017,user_18,2026-09-11T13:26:16+00:00
form_000018,tenant_19,merchant_info,batched,idem_000018,hangzhou,west,education,120.0654869,30.3084312,merchant_info_000018,user_19,2026-09-11T20:33:48+00:00
form_000019,tenant_20,property,published,idem_000019,chengdu,north,hotel,104.0637623,30.5230035,property_000019,user_20,2026-09-11T05:35:51+00:00
form_000020,tenant_01,product,published,idem_000020,shanghai,east,restaurant,121.4688476,31.2861484,product_000020,user_01,2026-09-07T12:25:05+00:00
form_000021,tenant_02,property,published,idem_000021,hangzhou,south,education,119.9851149,30.2942223,property_000021,user_02,2026-09-08T07:39:08+00:00
form_000022,tenant_03,property,published,idem_000022,beijing,south,education,116.2691778,39.9884227,property_000022,user_03,2026-09-08T00:49:00+00:00
form_000023,tenant_04,merchant_info,published,idem_000023,hangzhou,south,retail,120.2391242,30.3529155,merchant_info_000023,user_04,2026-09-01T00:51:45+00:00
form_000024,tenant_05,product,published,idem_000024,chengdu,east,service,104.0890014,30.6616472,product_000024,user_05,2026-09-07T10:51:08+00:00
form_000025,tenant_06,report,published,idem_000025,beijing,east,education,116.2367583,40.2158674,report_000025,user_06,2026-09-06T11:33:04+00:00
form_000026,tenant_07,merchant_info,published,idem_000026,shenzhen,core,hotel,113.9681805,22.5302415,merchant_info_000026,user_07,2026-09-04T13:45:58+00:00
form_000027,tenant_08,merchant_info,published,idem_000027,beijing,south,retail,116.5497088,39.8627062,merchant_info_000027,user_08,2026-09-06T20:04:26+00:00
form_000028,tenant_09,property,batched,idem_000028,beijing,west,education,116.3192176,39.9888038,property_000028,user_09,2026-09-04T09:39:46+00:00
form_000029,tenant_10,property,published,idem_000029,shenzhen,east,restaurant,114.1249030,22.5322833,property_000029,user_10,2026-09-11T04:17:24+00:00
form_000030,tenant_11,product,published,idem_000030,hangzhou,west,hotel,120.2257735,30.1866511,product_000030,user_11,2026-09-13T12:07:47+00:00
form_000031,tenant_12,report,published,idem_000031,beijing,west,education,116.5704186,39.8718389,report_000031,user_12,2026-09-09T11:28:12+00:00
form_000032,tenant_13,property,published,idem_000032,beijing,core,service,116.4593488,39.9407406,property_000032,user_13,2026-09-13T10:21:21+00:00
form_000033,tenant_14,property,published,idem_000033,chengdu,west,restaurant,104.0942444,30.6590592,property_000033,user_14,2026-09-14T23:19:50+00:00
form_000034,tenant_15,property,published,idem_000034,hangzhou,south,service,119.9889299,30.2872022,property_000034,user_15,2026-09-05T16:13:25+00:00
form_000035,tenant_16,product,batched,idem_000035,beijing,south,hotel,116.4652170,39.9311004,product_000035,user_16,2026-09-07T15:42:49+00:00
form_000036,tenant_17,report,published,idem_000036,shenzhen,north,retail,114.0953512,22.5170104,report_000036,user_17,2026-09-11T07:47:19+00:00
form_000037,tenant_18,merchant_info,published,idem_000037,shanghai,core,service,121.3917053,31.1062736,merchant_info_000037,user_18,2026-09-02T20:19:43+00:00
form_000038,tenant_19,property,published,idem_000038,hangzhou,core,retail,120.0804509,30.2907449,property_000038,user_19,2026-09-12T07:47:35+00:00
form_000039,tenant_20,report,rejected,idem_000039,shenzhen,core,service,114.2956790,22.7596795,report_000039,user_20,2026-09-05T01:50:07+00:00
form_000040,tenant_01,product,published,idem_000040,hangzhou,core,retail,119.9891898,30.2300721,product_000040,user_01,2026-09-11T14:18:53+00:00
form_000041,tenant_02,report,processing,idem_000041,shenzhen,south,education,114.0718282,22.5349871,report_000041,user_02,2026-09-14T01:02:35+00:00
form_000042,tenant_03,merchant_info,published,idem_000042,shanghai,south,service,121.4920104,31.2041307,merchant_info_000042,user_03,2026-09-14T17:17:00+00:00
